Algae,outcome,SE,type,p,pvalue,up,down
M. gaditana,0.5650372634377981,0.509667933387165,DMSO,NA,NA,0.7791260157661468,0.3235909383118556
M. gaditana,0.696035813973497,0.7381354121715674,LatB,,0.44250978888164705,0.906805277026884,0.3501786155934696
