start,end,estimate,SE,df,t.ratio,p.value,label
SSB01,M. gaditana,-2.987363378615468,0.5842232531141356,144.9995160155472,-5.113393489032947,5.843962705642802e-6,***
SSB01,N. oculata,-2.9675662482564227,0.6161841937542973,144.9995160155472,-4.816037604235814,2.152399793708959e-5,***
SSB01,C. velia,-0.9808266876740396,0.633396562891732,144.9995160155472,-1.5485191192009906,0.41143397302603435,
M. gaditana,N. oculata,0.0197971303590454,0.5136696093075973,144.9995160155472,0.03854059107318225,0.9999793438449676,
M. gaditana,C. velia,2.0065366909414286,0.5341953882023375,144.9995160155472,3.756184975115157,0.001409841186047367,**
N. oculata,C. velia,1.9867395605823832,0.5689735177756657,144.9995160155472,3.491796188246696,0.0035233570065921205,**
