"Col0","apoapo_rep1","apoapo_rep2","apoapo_rep3","apoapo_rep4","apoapo_rep5","aposym_rep1","aposym_rep2","aposym_rep3","aposym_rep4","aposym_rep5","symsym_rep1","symsym_rep2","symsym_rep3","symsym_rep4","symsym_rep5","symsym_rep6","apona_rep1","apona_rep2","apona_rep3","nana_rep1","nana_rep2","nana_rep3"
"XM_021047331.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021041540.1",0,0,0,269,156,0,0,46,63,750,494,0,0,10511.991171,0,0,1,372,135,1,864,0
"XM_021037795.1",280,227,31,115,161,827,121,146,23,0,0,0,0,0,0,240,185,276,0,217,553,1352
"XM_021048429.1",0,202,25,0,0,6,1067,259,946,785,0,0,0,0,0,3,0,709,128,2006,1624,0
"XM_021058826.1",11,0,207.630493,0,0,283.055273,1695.838058,236.773288,0,6,0,0,0,0,0,0,2878.896499,0,0,766.157165,2040.32011,0
"XM_021056376.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XR_002334618.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021054902.1",84,0,79.723935,0,0,0,510.435791,89.485586,97.405167,0,0,0,0,1904.068601,0,0,335.54001,0,162.42093,404.869995,473.358503,2134.50072
"XM_021051667.1",7,1,345,0,0,4340,1534,302,0,0,2,0,0,0,0,0,0,0,1621,42.560819,1,0
"XM_021045521.1",2,0,0,0,0,0,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021059700.1",0,1875,718,0,0,0,0,957,1863,0,0,0,0,0,0,0,0,280,1668,1331,3017,2873
"XM_021055607.1",314,12,420,751,685,1698,5362,595,1238,1333,30,1803,97,0,1107,0,65,279,271,1797,51,6163
"XM_021038697.1",58,0,77.801863,3,0,5130.415181,0,794.513336,0,285.075227,0,0,0,0,2244.687185,0,0,678.331657,0,224.092707,0,0
"XM_021056596.1",0,0,0,0,0,0,4927,25,0,0,0,0,0,0,1,0,40,0,0,1432,0,11
"XM_021056033.1",0,0,0,199.738833,0,87.979837,0,59.621468,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021045524.1",499.379177,988,463,40.011398,75.443979,87.304474,219.836479,60.548446,24,8146.624054,42.105588,0,0,1,153.149161,391,0,158,101.111544,204.373514,2902,117.77578
"XM_021051383.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XR_002334755.1",386,0,0,0,0,2894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021061591.1",0,0,0,0,52,1691,0,44,732,0,37,0,0,0,0,28,0,68,0,370,0,0
"XM_021041742.1",6,0,64,0,0,0,0,27,61,0,0,0,0,0,0,0,0,0,130,342,0,0
"XM_021054011.1",1,0,0,0,279.092963,0,0,52.384867,198.892084,0,0,0,0,0,0,0,0,12.126875,0,0,5.119209,139.763357
"XM_021060913.1",0,0,0,0,0,0,0,0.27904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021047722.1",0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,1751,455,1484,3331,0
"XM_021054551.1",1152,0,250,979,0,0,0,654.383367,0,2210.999835,0,0,0,0,0,0,0,122.106462,0.638502,527,5035.268753,0
"XM_021036850.1",37.52544,745,256.823138,212.761766,256,1,96.529167,281.813557,22.7916,0,0,0,0,63,0,0,0,404.606763,0,774.189297,479.692122,0
"XM_021043475.1",180.874399,3117.713284,418.382796,0,0,3.012192,1505.715869,55.606002,0,180.792055,0,0,0,0,0,0,0,0,81.003861,0,83.177994,0
"XM_021052437.1",34,90,29.345699,0,0,2,0,3.077897,16.251631,870.537483,0,0,0,0,0,0,0,10.940327,32.532526,135.279569,0,0
"XM_021050977.1",1,319.623489,2,3076,5,1,32,142.168521,31.294041,63,0,0,2281,0,117,0,0,0,851,77.635567,2454,2
"XM_021046689.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021042848.1",124.551538,1.017094,416.670006,13.077909,0,18.378306,170.256032,392.045104,153.251011,1065.783478,0,791,0,0,0,2178.770813,0,650.952107,1524.416521,1.125586,24.376552,6385.284006
"XM_021047323.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021038698.1",17.500891,1.5,321.602635,580.01755,0,0,1744.299145,153.975674,987.199957,7.173701,0,0,88.178451,0,0,3.337274,0,107.873046,2545.410012,2.260669,884.533515,0.001181
"XM_021047024.1",3023,183,191,2412,14,954,1676,802,2870,406,55,48,70,4524,23,2373,0,4223,2260,3770,1363,2888
"XM_021037630.1",0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,1337,0,0
"XM_021051836.1",632.502682,326.385356,119.87632,408.124572,909.285408,1924.417205,86.543433,311.555376,207.896083,355.378243,24.460345,0,7.045388,0,416.644904,496.67912,81.302891,215.80479,211.1305,1742.965623,2630.063737,4965.38142
"XM_021044381.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"XM_021046752.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021045395.1",0,1600,0,0,4142,0,564,13,332,0,0,0,0,0,0,0,0,0,0,120,0,0
"XR_002335096.1",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021055431.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
