Algae,mean,down,up
SSB01,0.038287930164362056,0.003027665424417213,0.3429377983312049
M. gaditana,0.42105263157894895,0.22423882265871206,0.6466224592074025
N. oculata,0.9230769230769229,0.6030324634288837,0.9895608363218794
C. velia,0.5833333333333325,0.30444086906614104,0.8174526847832623
Beads,0.4642857142857142,0.28996587614745634,0.6477920795730856
