start,end,estimate,SE,df,t.ratio,p.value,label
SSB01,M. gaditana,-2.678636315895907,0.6033763013839898,145,-4.43941253534785,1.038127327851468e-4,***
SSB01,N. oculata,-2.143520398364357,0.632372234368046,145,-3.3896497693426717,0.004944250655060545,**
SSB01,C. velia,-1.5002386204691067,0.6731203172475826,145,-2.2287822578341503,0.12035787188148628,
M. gaditana,N. oculata,0.5351159175315496,0.3973706582415841,145,1.3466417472782362,0.534888596528358,
M. gaditana,C. velia,1.1783976954268,0.4594559377385395,145,2.5647675840841684,0.054555974785664096,
N. oculata,C. velia,0.6432817778952504,0.4969219661586831,145,1.294532787246177,0.5678912989582416,
