Algae,outcome,SE,type,p,pvalue,up,down
M. gaditana,416.91013467085924,0.16209871050438013,DMSO,NA,NA,572.8272379349222,303.43190560889605
M. gaditana,375.8582423989302,0.2276164754003739,LatB,,0.6488148783787575,587.1852449591188,240.587480002241
