"row ID","ApoSym_Mean","Sym_Mean","Apo_Mean","Nan_Mean","ApoNa_Mean","Significant_Sym_vs_Apo_suffix","Significant_Sym_vs_ApoSym_suffix","Significant_Nan_vs_Apo_suffix","Significant_Nan_vs_ApoNa_suffix","Significant_Sym_vs_Nan_suffix","Significant_ApoSym_vs_Apo_suffix","Significant_ApoNa_vs_Apo_suffix"
"K00002",0.8840471924706153,-1.9822170068578482,0.35135508534026655,1.8872729390905023,0.01815727827372559,-100,-100,0,0,,0,0
"K00006",1.9789754778666824,-4.724586186435397,0.7927360511782086,4.68599401541209,0.14365914238388733,-100,-100,0,50,-100,0,-50
"K00008",1.0163121035414517,-2.3535216291704484,0.9566099740146367,2.2493205345932106,-0.8304807388457969,0,0,0,0,0,0,0
"K00010",-0.9239704168466683,-0.5815292595523393,-0.28876843354268644,2.364273518679747,0.8200164177405221,0,,0,0,,0,0
"K00012",1.3461206639877865,-1.6311233787215427,-0.6159278330946779,4.8628722634633625,-2.8176135575087935,,0,0,100,0,0,
"K00019",3.107516134197864,-4.450250095296735,-1.7259625772947405,4.121836616649851,2.4760743124384086,0,0,0,0,,0,0
"K00020",0.24722517787377474,-2.8323860021398577,0.7784772197611981,0.027967529958507154,3.9273004782629197,0,-50,0,0,,0,0
"K00021",1.5879181161842846,-3.3412246389034204,1.5939349224199995,1.1799775593794741,0.1993833207535578,0,0,0,0,0,0,0
"K00022",3.356296683832585,-3.8243625798762264,-1.5133908499978121,2.7699285866241197,1.8072868500703783,0,-100,,0,,0,0
"K00025",1.421102430756811,-1.736630519705895,0.012765407861056677,0.37285371560400193,0.7106275927780124,0,0,0,0,0,0,0
"K00026",0.7917435979412648,-1.761354194330279,0.10306750962701516,1.7923350237536793,0.23902151895975204,0,0,0,0,0,0,0
"K00029",-0.8307509118135703,-3.129356976680653,1.672539266608012,3.234023960037347,1.6217094019998815,0,0,0,0,0,0,0
"K00030",2.24943689321713,-4.316844490223327,1.9105965798356412,2.6898430949287384,-0.9895432362367043,0,0,0,0,0,0,0
"K00031",1.2048276641780498,-1.772396450649968,-1.3546796951976425,2.591617036864691,1.2029292494678967,0,0,0,0,0,0,0
"K00033",2.5823477410773967,-4.632069334357405,-0.2211407960636177,3.316167288125111,2.0126264722334,0,0,0,0,0,0,0
"K00036",0.28762408050100235,-4.019958948981144,1.3359240771174177,6.679885979302311,-1.3458816773707245,-100,-100,0,0,-100,0,0
"K00049",2.2679505903432133,-1.6267964965829003,-0.8486605252304342,-0.08077576237052708,0.9688853136816945,,-100,,,,0,
"K00058",4.448907488137701,-2.3699031188300355,-1.1876380384930565,-0.44840677374711163,-0.24723607133389258,,-50,,,,0,
"K00069",0.2337245161605559,-1.511923051847377,0.7819471114053178,0.876269897698366,0.45479016005326534,-33.33333333333333,-33.33333333333333,0,0,0,0,0
"K00072",1.6232263261874484,-4.392186688566288,0.7192509385588661,3.5058759908428403,1.3743686117125478,0,0,0,0,0,0,0
"K00078",2.3475248410605856,-3.821316818162402,0.8940945927802822,2.9758321038403386,-0.7358975239169814,0,0,0,0,,0,0
"K00079",0.2849252057909382,-2.4119033754058408,0.014709588387860018,4.4292763212639406,-0.10486089408359078,0,0,0,0,0,0,0
"K00088",1.9579621669278233,-1.8607674288950662,-0.014555456183255155,2.3299357753512906,-1.847412102135442,0,0,0,0,0,0,0
"K00102",1.4321819196429293,-3.650900214329628,3.003562807620662,3.4268728132272614,-3.5179802633406583,-100,-100,0,100,-100,0,-100
"K00103",2.4597629008256785,-5.886712388937625,2.6502651971409925,5.348440932598662,-2.091729651334531,-100,-100,0,,-100,0,0
"K00106",0.21522115372358086,-3.4921055248350727,1.0435206172274487,3.4126678418838376,1.4736402562012576,0,0,0,0,0,0,0
"K00108",0.6757138133433133,-0.9055672373375941,-0.4362474323704773,1.6451862977212723,-0.23316245800081048,33.33333333333333,0,0,0,0,33.333333333333336,0
"K00109",1.6877235438432532,-4.686502281245926,1.2120348047400933,2.7381909835413105,1.8018829979782973,-100,-100,0,0,-100,0,0
"K00111",2.795220463236621,-5.211298940619464,0.4952821863625638,5.339183642084587,-0.4007568435109694,0,0,0,0,0,0,0
"K00121",1.0556955994647632,-2.3343158999195217,0.3627831240956948,1.8220345630025367,0.48246603090240353,0,0,0,0,0,0,0
"K00128",2.374809546345822,-2.9339988670503687,-1.1234635029597566,3.579826451336244,0.20259454378771702,0,-25,0,0,0,0,0
"K00129",0.5138264511534427,-1.6525178601189676,0.1412762795844331,2.071596157036333,0.14160167863847486,0,0,0,0,0,0,0
"K00134",1.2262140641232047,-3.3596134150143686,0.7053190193912848,2.488920270425589,1.01108475374566,0,0,0,0,0,0,0
"K00139",1.2519349443839216,-2.3415855513419777,0.9942313187210227,1.3829733115146272,-0.44341264733891106,0,0,0,0,0,0,0
"K00140",1.264465461826049,-2.5048531290151406,-0.14171274860805666,2.515076200959043,0.6233755350412485,0,0,0,0,0,0,0
"K00142",1.2055656959323025,0.9103814020830826,-0.5867933125902502,-1.4260250548681261,-1.4260250548681261,0,0,,,100,0,
"K00149",0.4845996157056929,-3.5905686586860326,0.13462774728225058,2.406715072459745,3.7423766399324183,0,0,0,0,0,0,0
"K00161",1.9218554773378873,-6.934515078388163,1.374212641051867,5.18265447344597,3.192928819347434,-100,-100,0,0,-100,0,0
