start,end,estimate,SE,df,t.ratio,p.value,label
SSB01,M. gaditana,0.652600600322467,0.1817316949136614,144.39417565271768,3.5910114668358206,0.0025177418033568433,**
SSB01,N. oculata,0.6616845536014383,0.1961349508070547,144.39417565271768,3.373618780736138,0.005214988738514115,**
SSB01,C. velia,0.1112702170740609,0.20507680363568678,144.39417565271768,0.5425782687335489,0.948401974544655,
M. gaditana,N. oculata,0.00908395327897126,0.19020039336067907,144.39417565271768,0.04775990795006013,0.9999607027754608,
M. gaditana,C. velia,-0.5413303832484061,0.1994085406794337,144.39417565271768,-2.7146800302733323,0.03696915144733037,*
N. oculata,C. velia,-0.5504143365273774,0.21261767585926364,144.39417565271768,-2.588751543365138,0.05135199316894923,
