Algae,mean,down,up
SSB01,647.8802921838827,498.2222791905232,842.4931813211002
M. gaditana,337.3447298268074,264.03686203182207,431.00598100656936
N. oculata,334.2941825537178,251.36302629360463,444.58646976475274
C. velia,579.6565238885995,425.6900169501208,789.310700997681
