"Repeat(Date)","Algae","Treatment","Well_ID","Larvae","Time_to_expulsion"
"2020-08-17","SSB01","XMD17-109","S_X_2020-08-17","9",720
"2020-08-17","SSB01","XMD17-109","S_X_2020-08-17","10",720
"2020-12-01","SSB01","XMD17-109","S_X_2020-12-01","1",720
"2020-12-01","SSB01","XMD17-109","S_X_2020-12-01","2",720
"2020-12-01","SSB01","XMD17-109","S_X_2020-12-01","3",5
"2020-12-01","SSB01","XMD17-109","S_X_2020-12-01","3_2",5
"2020-12-01","SSB01","XMD17-109","S_X_2020-12-01","5",720
"2020-12-01","SSB01","XMD17-109","S_X_2020-12-01","6",20
"2020-12-01","SSB01","XMD17-109","S_X_2020-12-01","7",720
"2020-12-01","SSB01","XMD17-109","S_X_2020-12-01","9",720
"2020-12-01","SSB01","XMD17-109","S_X_2020-12-01","10",720
"2020-12-01","SSB01","XMD17-109","S_X_2020-12-01","10_2",720
"2020-12-01","SSB01","XMD17-109","S_X_2020-12-01","10_3",440
