"Repeat(Date)","Algae","Well_ID","Larvae","Number of Symbionts","Time_post_infection"
"IV","SSB01","SIV1",18,17,"1"
"IV","SSB01","SIV1",19,4,"1"
"IV","SSB01","SIV1",20,14,"1"
"IV","SSB01","SIV1",21,15,"1"
"IV","SSB01","SIV1",22,6,"1"
"IV","SSB01","SIV1",23,20,"1"
"IV","SSB01","SIV1",24,0,"1"
"IV","SSB01","SIV1",25,12,"1"
"IV","SSB01","SIV1",26,3,"1"
"IV","SSB01","SIV1",27,10,"1"
"IV","SSB01","SIV1",28,0,"1"
"IV","SSB01","SIV1",29,20,"1"
"IV","SSB01","SIV1",30,20,"1"
"IV","SSB01","SIV1",31,6,"1"
"IV","SSB01","SIV1",32,5,"1"
"IV","SSB01","SIV1",33,0,"1"
"IV","SSB01","SIV1",34,1,"1"
"IV","SSB01","SIV1",35,7,"1"
"IV","SSB01","SIV1",36,20,"1"
"IV","SSB01","SIV1",37,1,"1"
"IV","SSB01","SIV1",38,6,"1"
"IV","SSB01","SIV1",39,15,"1"
"IV","SSB01","SIV1",40,3,"1"
"IV","SSB01","SIV1",41,20,"1"
"IV","SSB01","SIV1",42,7,"1"
"IV","SSB01","SIV1",43,12,"1"
"IV","SSB01","SIV1",44,10,"1"
"IV","SSB01","SIV1",45,0,"1"
"IV","SSB01","SIV1",46,10,"1"
"IV","SSB01","SIV1",47,8,"1"
"IV","SSB01","SIV1",48,0,"1"
"IV","SSB01","SIV1",49,7,"1"
"IV","SSB01","SIV1",50,9,"1"
"V","SSB01","SV1",1,1,"1"
"V","SSB01","SV1",2,0,"1"
"V","SSB01","SV1",3,0,"1"
"V","SSB01","SV1",4,3,"1"
"V","SSB01","SV1",5,0,"1"
"V","SSB01","SV1",6,0,"1"
"V","SSB01","SV1",7,2,"1"
"V","SSB01","SV1",8,3,"1"
"V","SSB01","SV1",9,20,"1"
"V","SSB01","SV1",10,0,"1"
"V","SSB01","SV1",11,1,"1"
"V","SSB01","SV1",12,0,"1"
