"Repeat(Date)","Algae","Well_ID","Larvae","Number of Symbionts","Time_post_infection"
"IV","N. oculata","NIV1",30,0,"1"
"IV","N. oculata","NIV1",31,0,"1"
"IV","N. oculata","NIV1",32,0,"1"
"IV","N. oculata","NIV1",33,0,"1"
"IV","N. oculata","NIV1",34,0,"1"
"IV","N. oculata","NIV1",35,1,"1"
"IV","N. oculata","NIV1",36,0,"1"
"IV","N. oculata","NIV1",37,0,"1"
"IV","N. oculata","NIV1",38,0,"1"
"IV","N. oculata","NIV1",39,0,"1"
"IV","N. oculata","NIV1",40,2,"1"
"IV","N. oculata","NIV1",41,0,"1"
"IV","N. oculata","NIV1",42,2,"1"
"IV","N. oculata","NIV1",43,0,"1"
"IV","N. oculata","NIV1",44,0,"1"
"IV","N. oculata","NIV1",45,0,"1"
"IV","N. oculata","NIV1",46,0,"1"
"IV","N. oculata","NIV1",47,0,"1"
"IV","N. oculata","NIV1",48,3,"1"
"IV","N. oculata","NIV1",49,2,"1"
"IV","N. oculata","NIV1",50,0,"1"
"V","N. oculata","NV1",1,0,"1"
"V","N. oculata","NV1",2,0,"1"
"V","N. oculata","NV1",3,0,"1"
"V","N. oculata","NV1",4,0,"1"
"V","N. oculata","NV1",5,0,"1"
"V","N. oculata","NV1",6,0,"1"
"V","N. oculata","NV1",7,0,"1"
"V","N. oculata","NV1",8,0,"1"
"V","N. oculata","NV1",9,1,"1"
"V","N. oculata","NV1",10,1,"1"
"V","N. oculata","NV1",11,0,"1"
"V","N. oculata","NV1",12,0,"1"
"V","N. oculata","NV1",13,0,"1"
"V","N. oculata","NV1",14,0,"1"
"V","N. oculata","NV1",15,1,"1"
"V","N. oculata","NV1",16,0,"1"
"V","N. oculata","NV1",17,0,"1"
"V","N. oculata","NV1",18,0,"1"
"V","N. oculata","NV1",19,0,"1"
"V","N. oculata","NV1",20,0,"1"
"V","N. oculata","NV1",21,0,"1"
"V","N. oculata","NV1",22,0,"1"
"V","N. oculata","NV1",23,0,"1"
"V","N. oculata","NV1",24,0,"1"
"V","N. oculata","NV1",25,0,"1"
"V","N. oculata","NV1",26,1,"1"
"V","N. oculata","NV1",27,0,"1"
"V","N. oculata","NV1",28,0,"1"
"V","N. oculata","NV1",29,0,"1"
"V","N. oculata","NV1",30,0,"1"
"V","N. oculata","NV1",31,2,"1"
"V","N. oculata","NV1",32,0,"1"
"V","N. oculata","NV1",33,0,"1"
"V","N. oculata","NV1",34,1,"1"
"V","N. oculata","NV1",35,2,"1"
"V","N. oculata","NV1",36,0,"1"
"V","N. oculata","NV1",37,0,"1"
"V","N. oculata","NV1",38,0,"1"
"V","N. oculata","NV1",39,0,"1"
"V","N. oculata","NV1",40,0,"1"
"V","N. oculata","NV1",41,0,"1"
"V","N. oculata","NV1",42,0,"1"
"V","N. oculata","NV1",43,0,"1"
"V","N. oculata","NV1",44,1,"1"
"V","N. oculata","NV1",45,1,"1"
"V","N. oculata","NV1",46,0,"1"
"V","N. oculata","NV1",47,0,"1"
"V","N. oculata","NV1",48,1,"1"
"V","N. oculata","NV1",49,2,"1"
"V","N. oculata","NV1",50,2,"1"
"I","C. velia","CI1",1,0,"1"
"I","C. velia","CI1",2,8,"1"
"I","C. velia","CI1",3,0,"1"
"I","C. velia","CI1",4,0,"1"
"I","C. velia","CI1",5,2,"1"
"I","C. velia","CI1",6,9,"1"
"I","C. velia","CI1",7,0,"1"
"I","C. velia","CI1",8,6,"1"
"I","C. velia","CI1",9,6,"1"
"I","C. velia","CI1",10,2,"1"
"I","C. velia","CI1",11,1,"1"
"I","C. velia","CI1",12,2,"1"
"I","C. velia","CI1",13,0,"1"
"I","C. velia","CI1",14,13,"1"
"I","C. velia","CI1",15,0,"1"
"I","C. velia","CI1",16,0,"1"
"I","C. velia","CI1",17,1,"1"
"I","C. velia","CI1",18,3,"1"
"I","C. velia","CI1",19,0,"1"
"I","C. velia","CI1",20,0,"1"
"I","C. velia","CI1",21,0,"1"
"I","C. velia","CI1",22,0,"1"
"I","C. velia","CI1",23,0,"1"
"I","C. velia","CI1",24,4,"1"
"I","C. velia","CI1",25,0,"1"
"I","C. velia","CI1",26,0,"1"
"I","C. velia","CI1",27,0,"1"
"I","C. velia","CI1",28,0,"1"
"I","C. velia","CI1",29,1,"1"
"I","C. velia","CI1",30,0,"1"
"I","C. velia","CI1",31,0,"1"
"I","C. velia","CI1",32,1,"1"
"I","C. velia","CI1",33,2,"1"
"I","C. velia","CI1",34,3,"1"
"I","C. velia","CI1",35,0,"1"
"I","C. velia","CI1",36,0,"1"
"I","C. velia","CI1",37,0,"1"
"I","C. velia","CI1",38,0,"1"
"I","C. velia","CI1",39,7,"1"
"I","C. velia","CI1",40,0,"1"
"I","C. velia","CI1",41,0,"1"
"I","C. velia","CI1",42,1,"1"
"I","C. velia","CI1",43,3,"1"
"I","C. velia","CI1",44,3,"1"
"I","C. velia","CI1",45,0,"1"
"I","C. velia","CI1",46,0,"1"
"I","C. velia","CI1",47,0,"1"
"I","C. velia","CI1",48,0,"1"
"I","C. velia","CI1",49,0,"1"
"I","C. velia","CI1",50,6,"1"
"II","C. velia","CII1",1,0,"1"
"II","C. velia","CII1",2,0,"1"
"II","C. velia","CII1",3,2,"1"
"II","C. velia","CII1",4,0,"1"
"II","C. velia","CII1",5,0,"1"
"II","C. velia","CII1",6,20,"1"
"II","C. velia","CII1",7,3,"1"
"II","C. velia","CII1",8,0,"1"
"II","C. velia","CII1",9,1,"1"
"II","C. velia","CII1",10,0,"1"
"II","C. velia","CII1",11,0,"1"
"II","C. velia","CII1",12,14,"1"
"II","C. velia","CII1",13,0,"1"
"II","C. velia","CII1",14,0,"1"
"II","C. velia","CII1",15,1,"1"
"II","C. velia","CII1",16,2,"1"
"II","C. velia","CII1",17,0,"1"
"II","C. velia","CII1",18,4,"1"
"II","C. velia","CII1",19,0,"1"
"II","C. velia","CII1",20,0,"1"
"II","C. velia","CII1",21,0,"1"
"II","C. velia","CII1",22,10,"1"
"II","C. velia","CII1",23,9,"1"
"II","C. velia","CII1",24,0,"1"
"II","C. velia","CII1",25,10,"1"
"II","C. velia","CII1",26,6,"1"
"II","C. velia","CII1",27,0,"1"
"II","C. velia","CII1",28,0,"1"
"II","C. velia","CII1",29,0,"1"
"II","C. velia","CII1",30,1,"1"
"II","C. velia","CII1",31,0,"1"
"II","C. velia","CII1",32,0,"1"
"II","C. velia","CII1",33,0,"1"
"II","C. velia","CII1",34,1,"1"
"II","C. velia","CII1",35,5,"1"
"II","C. velia","CII1",36,1,"1"
"II","C. velia","CII1",37,6,"1"
"II","C. velia","CII1",38,7,"1"
"II","C. velia","CII1",39,0,"1"
"II","C. velia","CII1",40,0,"1"
"II","C. velia","CII1",41,0,"1"
"II","C. velia","CII1",42,3,"1"
"II","C. velia","CII1",43,9,"1"
"II","C. velia","CII1",44,2,"1"
"II","C. velia","CII1",45,1,"1"
"II","C. velia","CII1",46,0,"1"
"II","C. velia","CII1",47,0,"1"
"II","C. velia","CII1",48,0,"1"
"II","C. velia","CII1",49,16,"1"
"II","C. velia","CII1",50,3,"1"
"III","C. velia","CIII1",1,2,"1"
"III","C. velia","CIII1",2,0,"1"
"III","C. velia","CIII1",3,0,"1"
"III","C. velia","CIII1",4,1,"1"
"III","C. velia","CIII1",5,4,"1"
"III","C. velia","CIII1",6,0,"1"
"III","C. velia","CIII1",7,5,"1"
"III","C. velia","CIII1",8,1,"1"
"III","C. velia","CIII1",9,1,"1"
"III","C. velia","CIII1",10,0,"1"
"III","C. velia","CIII1",11,0,"1"
"III","C. velia","CIII1",12,3,"1"
"III","C. velia","CIII1",13,4,"1"
"III","C. velia","CIII1",14,0,"1"
"III","C. velia","CIII1",15,0,"1"
"III","C. velia","CIII1",16,0,"1"
"III","C. velia","CIII1",17,0,"1"
"III","C. velia","CIII1",18,4,"1"
"III","C. velia","CIII1",19,0,"1"
"III","C. velia","CIII1",20,5,"1"
"III","C. velia","CIII1",21,2,"1"
"III","C. velia","CIII1",22,3,"1"
"III","C. velia","CIII1",23,0,"1"
"III","C. velia","CIII1",24,0,"1"
"III","C. velia","CIII1",25,5,"1"
"III","C. velia","CIII1",26,0,"1"
"III","C. velia","CIII1",27,0,"1"
"III","C. velia","CIII1",28,0,"1"
"III","C. velia","CIII1",29,6,"1"
"III","C. velia","CIII1",30,0,"1"
"III","C. velia","CIII1",31,0,"1"
"III","C. velia","CIII1",32,0,"1"
"III","C. velia","CIII1",33,0,"1"
"III","C. velia","CIII1",34,0,"1"
"III","C. velia","CIII1",35,1,"1"
"III","C. velia","CIII1",36,0,"1"
"III","C. velia","CIII1",37,11,"1"
"III","C. velia","CIII1",38,3,"1"
"III","C. velia","CIII1",39,0,"1"
"III","C. velia","CIII1",40,0,"1"
"III","C. velia","CIII1",41,0,"1"
"III","C. velia","CIII1",42,6,"1"
"III","C. velia","CIII1",43,8,"1"
"III","C. velia","CIII1",44,0,"1"
"III","C. velia","CIII1",45,0,"1"
"III","C. velia","CIII1",46,0,"1"
"III","C. velia","CIII1",47,1,"1"
"III","C. velia","CIII1",48,0,"1"
"III","C. velia","CIII1",49,0,"1"
"III","C. velia","CIII1",50,1,"1"
"IV","C. velia","CIV1",1,5,"1"
"IV","C. velia","CIV1",2,2,"1"
"IV","C. velia","CIV1",3,0,"1"
"IV","C. velia","CIV1",4,0,"1"
"IV","C. velia","CIV1",5,0,"1"
"IV","C. velia","CIV1",6,1,"1"
"IV","C. velia","CIV1",7,0,"1"
"IV","C. velia","CIV1",8,0,"1"
"IV","C. velia","CIV1",9,0,"1"
"IV","C. velia","CIV1",10,0,"1"
"IV","C. velia","CIV1",11,0,"1"
"IV","C. velia","CIV1",12,0,"1"
"IV","C. velia","CIV1",13,0,"1"
"IV","C. velia","CIV1",14,0,"1"
"IV","C. velia","CIV1",15,0,"1"
"IV","C. velia","CIV1",16,0,"1"
"IV","C. velia","CIV1",17,0,"1"
"IV","C. velia","CIV1",18,2,"1"
"IV","C. velia","CIV1",19,0,"1"
"IV","C. velia","CIV1",20,0,"1"
"IV","C. velia","CIV1",21,0,"1"
"IV","C. velia","CIV1",22,0,"1"
"IV","C. velia","CIV1",23,0,"1"
"IV","C. velia","CIV1",24,0,"1"
"IV","C. velia","CIV1",25,5,"1"
"IV","C. velia","CIV1",26,0,"1"
"IV","C. velia","CIV1",27,0,"1"
"IV","C. velia","CIV1",28,0,"1"
"IV","C. velia","CIV1",29,0,"1"
"IV","C. velia","CIV1",30,0,"1"
"IV","C. velia","CIV1",31,0,"1"
"IV","C. velia","CIV1",32,0,"1"
"IV","C. velia","CIV1",33,0,"1"
"IV","C. velia","CIV1",34,0,"1"
"IV","C. velia","CIV1",35,0,"1"
"IV","C. velia","CIV1",36,0,"1"
"IV","C. velia","CIV1",37,0,"1"
"IV","C. velia","CIV1",38,0,"1"
"IV","C. velia","CIV1",39,0,"1"
"IV","C. velia","CIV1",40,10,"1"
"IV","C. velia","CIV1",41,0,"1"
"IV","C. velia","CIV1",42,0,"1"
"IV","C. velia","CIV1",43,1,"1"
"IV","C. velia","CIV1",44,3,"1"
"IV","C. velia","CIV1",45,0,"1"
"IV","C. velia","CIV1",46,0,"1"
"IV","C. velia","CIV1",47,0,"1"
"IV","C. velia","CIV1",48,1,"1"
"IV","C. velia","CIV1",49,2,"1"
"IV","C. velia","CIV1",50,0,"1"
"V","C. velia","CV1",1,0,"1"
"V","C. velia","CV1",2,4,"1"
"V","C. velia","CV1",3,0,"1"
"V","C. velia","CV1",4,4,"1"
"V","C. velia","CV1",5,8,"1"
"V","C. velia","CV1",6,1,"1"
"V","C. velia","CV1",7,0,"1"
"V","C. velia","CV1",8,20,"1"
"V","C. velia","CV1",9,0,"1"
"V","C. velia","CV1",10,1,"1"
"V","C. velia","CV1",11,7,"1"
"V","C. velia","CV1",12,0,"1"
"V","C. velia","CV1",13,0,"1"
"V","C. velia","CV1",14,0,"1"
"V","C. velia","CV1",15,2,"1"
"V","C. velia","CV1",16,9,"1"
"V","C. velia","CV1",17,0,"1"
"V","C. velia","CV1",18,6,"1"
"V","C. velia","CV1",19,0,"1"
"V","C. velia","CV1",20,0,"1"
"V","C. velia","CV1",21,8,"1"
"V","C. velia","CV1",22,3,"1"
"V","C. velia","CV1",23,0,"1"
"V","C. velia","CV1",24,7,"1"
"V","C. velia","CV1",25,0,"1"
"V","C. velia","CV1",26,0,"1"
"V","C. velia","CV1",27,2,"1"
"V","C. velia","CV1",28,1,"1"
"V","C. velia","CV1",29,0,"1"
"V","C. velia","CV1",30,8,"1"
"V","C. velia","CV1",31,2,"1"
"V","C. velia","CV1",32,0,"1"
"V","C. velia","CV1",33,3,"1"
"V","C. velia","CV1",34,8,"1"
"V","C. velia","CV1",35,4,"1"
"V","C. velia","CV1",36,0,"1"
"V","C. velia","CV1",37,0,"1"
"V","C. velia","CV1",38,0,"1"
"V","C. velia","CV1",39,0,"1"
"V","C. velia","CV1",40,1,"1"
"V","C. velia","CV1",41,6,"1"
"V","C. velia","CV1",42,1,"1"
"V","C. velia","CV1",43,5,"1"
"V","C. velia","CV1",44,0,"1"
"V","C. velia","CV1",45,0,"1"
"V","C. velia","CV1",46,0,"1"
"V","C. velia","CV1",47,0,"1"
"V","C. velia","CV1",48,12,"1"
"V","C. velia","CV1",49,18,"1"
"V","C. velia","CV1",50,0,"1"
"I","SSB01","SI2",1,3,"2"
"I","SSB01","SI2",2,13,"2"
"I","SSB01","SI2",3,12,"2"
"I","SSB01","SI2",4,8,"2"
"I","SSB01","SI2",5,10,"2"
"I","SSB01","SI2",6,10,"2"
"I","SSB01","SI2",7,13,"2"
"I","SSB01","SI2",8,10,"2"
"I","SSB01","SI2",9,14,"2"
"I","SSB01","SI2",10,11,"2"
"I","SSB01","SI2",11,10,"2"
"I","SSB01","SI2",12,11,"2"
"I","SSB01","SI2",13,8,"2"
"I","SSB01","SI2",14,12,"2"
"I","SSB01","SI2",15,3,"2"
"I","SSB01","SI2",16,0,"2"
"I","SSB01","SI2",17,3,"2"
"I","SSB01","SI2",18,0,"2"
"I","SSB01","SI2",19,9,"2"
"I","SSB01","SI2",20,2,"2"
"I","SSB01","SI2",21,12,"2"
"I","SSB01","SI2",22,12,"2"
"I","SSB01","SI2",23,0,"2"
"I","SSB01","SI2",24,7,"2"
"I","SSB01","SI2",25,10,"2"
"I","SSB01","SI2",26,14,"2"
"I","SSB01","SI2",27,1,"2"
"I","SSB01","SI2",28,0,"2"
"I","SSB01","SI2",29,0,"2"
"I","SSB01","SI2",30,0,"2"
"I","SSB01","SI2",31,3,"2"
"I","SSB01","SI2",32,3,"2"
"I","SSB01","SI2",33,20,"2"
"I","SSB01","SI2",34,3,"2"
"I","SSB01","SI2",35,15,"2"
"I","SSB01","SI2",36,6,"2"
"I","SSB01","SI2",37,7,"2"
"I","SSB01","SI2",38,0,"2"
"I","SSB01","SI2",39,5,"2"
"I","SSB01","SI2",40,13,"2"
"II","SSB01","SII2",1,2,"2"
"II","SSB01","SII2",2,3,"2"
"II","SSB01","SII2",3,0,"2"
"II","SSB01","SII2",4,0,"2"
"II","SSB01","SII2",5,0,"2"
"II","SSB01","SII2",6,6,"2"
"II","SSB01","SII2",7,1,"2"
"II","SSB01","SII2",8,0,"2"
"II","SSB01","SII2",9,0,"2"
"II","SSB01","SII2",10,0,"2"
"II","SSB01","SII2",11,2,"2"
"II","SSB01","SII2",12,4,"2"
"II","SSB01","SII2",13,1,"2"
"II","SSB01","SII2",14,0,"2"
"II","SSB01","SII2",15,0,"2"
"II","SSB01","SII2",16,0,"2"
"II","SSB01","SII2",17,3,"2"
"II","SSB01","SII2",18,1,"2"
"II","SSB01","SII2",19,2,"2"
"II","SSB01","SII2",20,2,"2"
"II","SSB01","SII2",21,2,"2"
"II","SSB01","SII2",22,2,"2"
"II","SSB01","SII2",23,1,"2"
"II","SSB01","SII2",24,1,"2"
"II","SSB01","SII2",25,5,"2"
"II","SSB01","SII2",26,0,"2"
"II","SSB01","SII2",27,4,"2"
"II","SSB01","SII2",28,1,"2"
"II","SSB01","SII2",29,0,"2"
"II","SSB01","SII2",30,3,"2"
"II","SSB01","SII2",31,0,"2"
"II","SSB01","SII2",32,1,"2"
"II","SSB01","SII2",33,0,"2"
"II","SSB01","SII2",34,2,"2"
"II","SSB01","SII2",35,5,"2"
"II","SSB01","SII2",36,3,"2"
"II","SSB01","SII2",37,3,"2"
"II","SSB01","SII2",38,3,"2"
"II","SSB01","SII2",39,0,"2"
"II","SSB01","SII2",40,0,"2"
"II","SSB01","SII2",41,3,"2"
"II","SSB01","SII2",42,8,"2"
"III","SSB01","SIII2",1,0,"2"
"III","SSB01","SIII2",2,0,"2"
"III","SSB01","SIII2",3,0,"2"
"III","SSB01","SIII2",4,0,"2"
"III","SSB01","SIII2",5,1,"2"
"III","SSB01","SIII2",6,2,"2"
"III","SSB01","SIII2",7,0,"2"
"III","SSB01","SIII2",8,0,"2"
"III","SSB01","SIII2",9,4,"2"
"III","SSB01","SIII2",10,0,"2"
"III","SSB01","SIII2",11,10,"2"
"III","SSB01","SIII2",12,0,"2"
"III","SSB01","SIII2",13,2,"2"
"III","SSB01","SIII2",14,0,"2"
"III","SSB01","SIII2",15,0,"2"
"III","SSB01","SIII2",16,0,"2"
"III","SSB01","SIII2",17,0,"2"
"III","SSB01","SIII2",18,0,"2"
"III","SSB01","SIII2",19,4,"2"
"III","SSB01","SIII2",20,0,"2"
"III","SSB01","SIII2",21,0,"2"
"III","SSB01","SIII2",22,0,"2"
"III","SSB01","SIII2",23,0,"2"
"III","SSB01","SIII2",24,0,"2"
"III","SSB01","SIII2",25,5,"2"
"III","SSB01","SIII2",26,0,"2"
"III","SSB01","SIII2",27,6,"2"
"III","SSB01","SIII2",28,0,"2"
"III","SSB01","SIII2",29,0,"2"
"III","SSB01","SIII2",30,0,"2"
"III","SSB01","SIII2",31,0,"2"
"III","SSB01","SIII2",32,0,"2"
"III","SSB01","SIII2",33,2,"2"
"III","SSB01","SIII2",34,0,"2"
"III","SSB01","SIII2",35,1,"2"
"III","SSB01","SIII2",36,0,"2"
"III","SSB01","SIII2",37,1,"2"
"III","SSB01","SIII2",38,1,"2"
"III","SSB01","SIII2",39,0,"2"
"III","SSB01","SIII2",40,0,"2"
"III","SSB01","SIII2",41,4,"2"
"III","SSB01","SIII2",42,15,"2"
"III","SSB01","SIII2",43,0,"2"
"III","SSB01","SIII2",44,0,"2"
"III","SSB01","SIII2",45,0,"2"
"III","SSB01","SIII2",46,0,"2"
"III","SSB01","SIII2",47,4,"2"
"III","SSB01","SIII2",48,4,"2"
"III","SSB01","SIII2",49,2,"2"
"III","SSB01","SIII2",50,0,"2"
"IV","SSB01","SIV2",1,10,"2"
"IV","SSB01","SIV2",2,5,"2"
"IV","SSB01","SIV2",3,20,"2"
"IV","SSB01","SIV2",4,19,"2"
"IV","SSB01","SIV2",5,14,"2"
"IV","SSB01","SIV2",6,11,"2"
"IV","SSB01","SIV2",7,20,"2"
"IV","SSB01","SIV2",8,0,"2"
"IV","SSB01","SIV2",9,2,"2"
"IV","SSB01","SIV2",10,10,"2"
"IV","SSB01","SIV2",11,1,"2"
"IV","SSB01","SIV2",12,20,"2"
"IV","SSB01","SIV2",13,18,"2"
"IV","SSB01","SIV2",14,2,"2"
"IV","SSB01","SIV2",15,7,"2"
"IV","SSB01","SIV2",16,11,"2"
"IV","SSB01","SIV2",17,9,"2"
"IV","SSB01","SIV2",18,1,"2"
"IV","SSB01","SIV2",19,0,"2"
"IV","SSB01","SIV2",20,11,"2"
"IV","SSB01","SIV2",21,5,"2"
"IV","SSB01","SIV2",22,0,"2"
"IV","SSB01","SIV2",23,17,"2"
"IV","SSB01","SIV2",24,12,"2"
"IV","SSB01","SIV2",25,14,"2"
"IV","SSB01","SIV2",26,0,"2"
"IV","SSB01","SIV2",27,14,"2"
"IV","SSB01","SIV2",28,0,"2"
"IV","SSB01","SIV2",29,0,"2"
"IV","SSB01","SIV2",30,8,"2"
"IV","SSB01","SIV2",31,10,"2"
"IV","SSB01","SIV2",32,7,"2"
"IV","SSB01","SIV2",33,0,"2"
"IV","SSB01","SIV2",34,20,"2"
"IV","SSB01","SIV2",35,0,"2"
"IV","SSB01","SIV2",36,7,"2"
"IV","SSB01","SIV2",37,7,"2"
"IV","SSB01","SIV2",38,15,"2"
"IV","SSB01","SIV2",39,12,"2"
"IV","SSB01","SIV2",40,10,"2"
"IV","SSB01","SIV2",41,10,"2"
"IV","SSB01","SIV2",42,16,"2"
"IV","SSB01","SIV2",43,16,"2"
"IV","SSB01","SIV2",44,6,"2"
"IV","SSB01","SIV2",45,17,"2"
"IV","SSB01","SIV2",46,2,"2"
"IV","SSB01","SIV2",47,6,"2"
"IV","SSB01","SIV2",48,7,"2"
"IV","SSB01","SIV2",49,0,"2"
"IV","SSB01","SIV2",50,10,"2"
"V","SSB01","SV2",1,0,"2"
"V","SSB01","SV2",2,0,"2"
"V","SSB01","SV2",3,0,"2"
"V","SSB01","SV2",4,4,"2"
"V","SSB01","SV2",5,2,"2"
"V","SSB01","SV2",6,1,"2"
"V","SSB01","SV2",7,2,"2"
"V","SSB01","SV2",8,0,"2"
"V","SSB01","SV2",9,0,"2"
"V","SSB01","SV2",10,0,"2"
"V","SSB01","SV2",11,0,"2"
"V","SSB01","SV2",12,0,"2"
"V","SSB01","SV2",13,5,"2"
"V","SSB01","SV2",14,1,"2"
"V","SSB01","SV2",15,2,"2"
"V","SSB01","SV2",16,4,"2"
"V","SSB01","SV2",17,10,"2"
"V","SSB01","SV2",18,0,"2"
"V","SSB01","SV2",19,0,"2"
"V","SSB01","SV2",20,0,"2"
"V","SSB01","SV2",21,0,"2"
"V","SSB01","SV2",22,0,"2"
"V","SSB01","SV2",23,0,"2"
"V","SSB01","SV2",24,1,"2"
"V","SSB01","SV2",25,4,"2"
"V","SSB01","SV2",26,0,"2"
"V","SSB01","SV2",27,0,"2"
"V","SSB01","SV2",28,0,"2"
"V","SSB01","SV2",29,0,"2"
"V","SSB01","SV2",30,2,"2"
"V","SSB01","SV2",31,1,"2"
"V","SSB01","SV2",32,0,"2"
"V","SSB01","SV2",33,0,"2"
"V","SSB01","SV2",34,0,"2"
"V","SSB01","SV2",35,2,"2"
"V","SSB01","SV2",36,2,"2"
"V","SSB01","SV2",37,3,"2"
"V","SSB01","SV2",38,6,"2"
"V","SSB01","SV2",39,5,"2"
"V","SSB01","SV2",40,2,"2"
"V","SSB01","SV2",41,1,"2"
"V","SSB01","SV2",42,2,"2"
"V","SSB01","SV2",43,10,"2"
"V","SSB01","SV2",44,4,"2"
"V","SSB01","SV2",45,6,"2"
"V","SSB01","SV2",46,6,"2"
"V","SSB01","SV2",47,0,"2"
"V","SSB01","SV2",48,0,"2"
"V","SSB01","SV2",49,0,"2"
"V","SSB01","SV2",50,6,"2"
"I","M. gaditana","MI2",1,13,"2"
"I","M. gaditana","MI2",2,5,"2"
"I","M. gaditana","MI2",3,4,"2"
"I","M. gaditana","MI2",4,0,"2"
"I","M. gaditana","MI2",5,10,"2"
"I","M. gaditana","MI2",6,1,"2"
"I","M. gaditana","MI2",7,4,"2"
"I","M. gaditana","MI2",8,4,"2"
"I","M. gaditana","MI2",9,11,"2"
"I","M. gaditana","MI2",10,0,"2"
"I","M. gaditana","MI2",11,7,"2"
"I","M. gaditana","MI2",12,1,"2"
"I","M. gaditana","MI2",13,1,"2"
"I","M. gaditana","MI2",14,1,"2"
"I","M. gaditana","MI2",15,0,"2"
"I","M. gaditana","MI2",16,1,"2"
"I","M. gaditana","MI2",17,0,"2"
"I","M. gaditana","MI2",18,0,"2"
"I","M. gaditana","MI2",19,3,"2"
"I","M. gaditana","MI2",20,0,"2"
"I","M. gaditana","MI2",21,0,"2"
"I","M. gaditana","MI2",22,0,"2"
"I","M. gaditana","MI2",23,0,"2"
"I","M. gaditana","MI2",24,4,"2"
"I","M. gaditana","MI2",25,0,"2"
"I","M. gaditana","MI2",26,1,"2"
"I","M. gaditana","MI2",27,1,"2"
"I","M. gaditana","MI2",28,0,"2"
"I","M. gaditana","MI2",29,6,"2"
"I","M. gaditana","MI2",30,2,"2"
"I","M. gaditana","MI2",31,1,"2"
"I","M. gaditana","MI2",32,1,"2"
"II","M. gaditana","MII2",1,1,"2"
"II","M. gaditana","MII2",2,0,"2"
"II","M. gaditana","MII2",3,0,"2"
"II","M. gaditana","MII2",4,1,"2"
"II","M. gaditana","MII2",5,0,"2"
"II","M. gaditana","MII2",6,2,"2"
"II","M. gaditana","MII2",7,0,"2"
"II","M. gaditana","MII2",8,0,"2"
"II","M. gaditana","MII2",9,0,"2"
"II","M. gaditana","MII2",10,0,"2"
"II","M. gaditana","MII2",11,0,"2"
"II","M. gaditana","MII2",12,4,"2"
"II","M. gaditana","MII2",13,0,"2"
"II","M. gaditana","MII2",14,0,"2"
"II","M. gaditana","MII2",15,10,"2"
"II","M. gaditana","MII2",16,0,"2"
"II","M. gaditana","MII2",17,3,"2"
"II","M. gaditana","MII2",18,0,"2"
"II","M. gaditana","MII2",19,0,"2"
"II","M. gaditana","MII2",20,1,"2"
"II","M. gaditana","MII2",21,1,"2"
"II","M. gaditana","MII2",22,0,"2"
"II","M. gaditana","MII2",23,3,"2"
"II","M. gaditana","MII2",24,0,"2"
"II","M. gaditana","MII2",25,1,"2"
"II","M. gaditana","MII2",26,0,"2"
"II","M. gaditana","MII2",27,2,"2"
"II","M. gaditana","MII2",28,0,"2"
"II","M. gaditana","MII2",29,4,"2"
"II","M. gaditana","MII2",30,1,"2"
"II","M. gaditana","MII2",31,5,"2"
"II","M. gaditana","MII2",32,8,"2"
"II","M. gaditana","MII2",33,0,"2"
"II","M. gaditana","MII2",34,0,"2"
"II","M. gaditana","MII2",35,0,"2"
"II","M. gaditana","MII2",36,0,"2"
"II","M. gaditana","MII2",37,0,"2"
"II","M. gaditana","MII2",38,0,"2"
"II","M. gaditana","MII2",39,0,"2"
"II","M. gaditana","MII2",40,1,"2"
"III","M. gaditana","MIII2",1,1,"2"
"III","M. gaditana","MIII2",2,1,"2"
"III","M. gaditana","MIII2",3,0,"2"
"III","M. gaditana","MIII2",4,0,"2"
"III","M. gaditana","MIII2",5,1,"2"
"III","M. gaditana","MIII2",6,0,"2"
"III","M. gaditana","MIII2",7,0,"2"
"III","M. gaditana","MIII2",8,4,"2"
"III","M. gaditana","MIII2",9,2,"2"
"III","M. gaditana","MIII2",10,0,"2"
"III","M. gaditana","MIII2",11,1,"2"
"III","M. gaditana","MIII2",12,2,"2"
"III","M. gaditana","MIII2",13,5,"2"
"III","M. gaditana","MIII2",14,0,"2"
"III","M. gaditana","MIII2",15,1,"2"
"III","M. gaditana","MIII2",16,0,"2"
"III","M. gaditana","MIII2",17,0,"2"
"III","M. gaditana","MIII2",18,1,"2"
"III","M. gaditana","MIII2",19,2,"2"
"III","M. gaditana","MIII2",20,0,"2"
"III","M. gaditana","MIII2",21,0,"2"
"III","M. gaditana","MIII2",22,3,"2"
"III","M. gaditana","MIII2",23,0,"2"
"III","M. gaditana","MIII2",24,4,"2"
"III","M. gaditana","MIII2",25,16,"2"
"III","M. gaditana","MIII2",26,12,"2"
"III","M. gaditana","MIII2",27,3,"2"
"III","M. gaditana","MIII2",28,4,"2"
"III","M. gaditana","MIII2",29,6,"2"
"III","M. gaditana","MIII2",30,4,"2"
"III","M. gaditana","MIII2",31,2,"2"
"IV","M. gaditana","MIV2",1,1,"2"
"IV","M. gaditana","MIV2",2,1,"2"
"IV","M. gaditana","MIV2",3,3,"2"
"IV","M. gaditana","MIV2",4,4,"2"
"IV","M. gaditana","MIV2",5,1,"2"
"IV","M. gaditana","MIV2",6,1,"2"
"IV","M. gaditana","MIV2",7,3,"2"
