Algae,outcome,SE,type,p,pvalue,up,down
SSB01,0.8393151326557103,0.5440706074674857,DMSO,NA,NA,0.938168668421602,0.6426220257970015
SSB01,0.0953058927900354,0.832004750885895,XMD17-109,***,2.7073782837826875e-6,0.3498324146163689,0.02020853828520526
